Pais,Tipo GINI,Ciudad,Ano,RazonD1-D10
Argentina,Urbano,Bahía Blanca,1990,--
Argentina,Urbano,Bahía Blanca,1994,--
Argentina,Urbano,Bahía Blanca,1999,--
Argentina,Urbano,Bahía Blanca,2002,36.46
Argentina,Urbano,Bahía Blanca,2005,64.06
Argentina,Urbano,Bahía Blanca,2010,28.48
Argentina,Urbano,Buenos Aires,1990,25.79
Argentina,Urbano,Buenos Aires,1994,27.16
Argentina,Urbano,Buenos Aires,1999,33.41
Argentina,Urbano,Buenos Aires,2002,56.10
Argentina,Urbano,Buenos Aires,2005,51.49
Argentina,Urbano,Buenos Aires,2010,32.07
Argentina,Urbano,Comodoro Rivadavia,1990,--
Argentina,Urbano,Comodoro Rivadavia,1994,33.75
Argentina,Urbano,Comodoro Rivadavia,1999,29.44
Argentina,Urbano,Comodoro Rivadavia,2002,55.85
Argentina,Urbano,Comodoro Rivadavia,2005,52.32
Argentina,Urbano,Comodoro Rivadavia,2010,39.68
Argentina,Urbano,Concordia,1990,--
Argentina,Urbano,Concordia,1994,--
Argentina,Urbano,Concordia,1999,42.61
Argentina,Urbano,Concordia,2002,61.21
Argentina,Urbano,Concordia,2005,46.31
Argentina,Urbano,Concordia,2010,39.01
Argentina,Urbano,Cordoba,1990,--
Argentina,Urbano,Cordoba,1994,30.98
Argentina,Urbano,Cordoba,1999,27.32
Argentina,Urbano,Cordoba,2002,39.45
Argentina,Urbano,Cordoba,2005,45.10
Argentina,Urbano,Cordoba,2010,30.03
Argentina,Urbano,Corrientes,1990,--
Argentina,Urbano,Corrientes,1994,--
Argentina,Urbano,Corrientes,1999,20.6
Argentina,Urbano,Corrientes,2002,30.338
Argentina,Urbano,Corrientes,2005,40.19
Argentina,Urbano,Corrientes,2010,34.01
Argentina,Urbano,Formosa,1990,--
Argentina,Urbano,Formosa,1994,--
Argentina,Urbano,Formosa,1999,32.82
Argentina,Urbano,Formosa,2002,33.42
Argentina,Urbano,Formosa,2005,22.05
Argentina,Urbano,Formosa,2010,19.69
Argentina,Urbano,Jujuy,1990,--
Argentina,Urbano,Jujuy,1994,23.84
Argentina,Urbano,Jujuy,1999,26.23
Argentina,Urbano,Jujuy,2002,32.87
Argentina,Urbano,Jujuy,2005,31.80
Argentina,Urbano,Jujuy,2010,25.00
Argentina,Urbano,La Plata,1990,--
Argentina,Urbano,La Plata,1994,--
Argentina,Urbano,La Plata,1999,29.49
Argentina,Urbano,La Plata,2002,26.31
Argentina,Urbano,La Plata,2005,37.27
Argentina,Urbano,La Plata,2010,29.72
Argentina,Urbano,La Rioja,1990,--
Argentina,Urbano,La Rioja,1994,--
Argentina,Urbano,La Rioja,1999,24.27
Argentina,Urbano,La Rioja,2002,30.15
