Pais,Tipo GINI,Ciudad ,Año,GINI
Bolivia (Estado Plurinacional de)  ,Urbano,Bolivia (Estado Plurinacional de)  ,1989,0.536
Bolivia (Estado Plurinacional de)  ,Urbano,Bolivia (Estado Plurinacional de)  ,1994,0.513
Bolivia (Estado Plurinacional de)  ,Urbano,Bolivia (Estado Plurinacional de)  ,1999,0.504
Bolivia (Estado Plurinacional de)  ,Urbano,Bolivia (Estado Plurinacional de)  ,2004,0.511
Bolivia (Estado Plurinacional de)  ,Urbano,Bolivia (Estado Plurinacional de)  ,2007,0.506
Bolivia (Estado Plurinacional de)  ,Rural,Bolivia (Estado Plurinacional de)  ,1989,--
Bolivia (Estado Plurinacional de)  ,Rural,Bolivia (Estado Plurinacional de)  ,1994,--
Bolivia (Estado Plurinacional de)  ,Rural,Bolivia (Estado Plurinacional de)  ,1999,0.64
Bolivia (Estado Plurinacional de)  ,Rural,Bolivia (Estado Plurinacional de)  ,2004,0.522
Bolivia (Estado Plurinacional de)  ,Rural,Bolivia (Estado Plurinacional de)  ,2007,0.607
Nicaragua,Urbano,Nicaragua,1993,0.549
Nicaragua,Urbano,Nicaragua,1998,0.551
Nicaragua,Urbano,Nicaragua,2001,0.561
Nicaragua,Urbano,Nicaragua,2005,0.5
Nicaragua,Rural,Nicaragua,1993,0.536
Nicaragua,Rural,Nicaragua,1998,0.558
Nicaragua,Rural,Nicaragua,2001,0.507
Nicaragua,Rural,Nicaragua,2005,0.497
México,Urbano,México,1989,0.53
México,Urbano,México,1994,0.512
México,Urbano,México,2002,0.476
México,Urbano,México,2005,0.497
México,Urbano,México,2010,0.456
México,Rural,México,1989,0.453
México,Rural,México,1994,0.45
México,Rural,México,2002,0.498
México,Rural,México,2005,0.486
México,Rural,México,2010,0.45
Honduras,Urbano,Honduras,1990,0.561
Honduras,Urbano,Honduras,1994,0.533
Honduras,Urbano,Honduras,1999,0.517
Honduras,Urbano,Honduras,2002,0.533
Honduras,Urbano,Honduras,2006,0.515
Honduras,Urbano,Honduras,2010,0.492
Honduras,Rural,Honduras,1990,0.558
Honduras,Rural,Honduras,1994,0.538
Honduras,Rural,Honduras,1999,0.512
Honduras,Rural,Honduras,2002,0.519
Honduras,Rural,Honduras,2006,0.601
Honduras,Rural,Honduras,2010,0.56
Guatemala ,Urbano,Guatemala ,1989,0.557
Guatemala ,Urbano,Guatemala ,1994,--
Guatemala ,Urbano,Guatemala ,1998,0.525
Guatemala ,Urbano,Guatemala ,2002,0.523
Guatemala ,Urbano,Guatemala ,2006,0.547
Guatemala ,Urbano,Guatemala ,2010,--
Guatemala ,Rural,Guatemala ,1989,0.519
Guatemala ,Rural,Guatemala ,1994,--
Guatemala ,Rural,Guatemala ,1998,0.51
Guatemala ,Rural,Guatemala ,2002,0.47
Guatemala ,Rural,Guatemala ,2006,0.526
Guatemala ,Rural,Guatemala ,2010,--
El Salvador,Urbano,El Salvador,1990,--
El Salvador,Urbano,El Salvador,1997,0.467
El Salvador,Urbano,El Salvador,1999,0.45
El Salvador,Urbano,El Salvador,2002,--
El Salvador,Urbano,El Salvador,2004,0.455
El Salvador,Urbano,El Salvador,2010,0.454
El Salvador,Rural,El Salvador,1990,--
El Salvador,Rural,El Salvador,1997,0.423
El Salvador,Rural,El Salvador,1999,0.462
El Salvador,Rural,El Salvador,2002,--
El Salvador,Rural,El Salvador,2004,0.456
El Salvador,Rural,El Salvador,2010,0.402
Ecuador,Urbano,Ecuador,1990,0.461
Ecuador,Urbano,Ecuador,1994,0.479
Ecuador,Urbano,Ecuador,1999,0.526
Ecuador,Urbano,Ecuador,2002,0.513
Ecuador,Urbano,Ecuador,2005,0.513
Ecuador,Urbano,Ecuador,2010,0.485
Ecuador,Rural,Ecuador,1990,--
Ecuador,Rural,Ecuador,1994,--
Ecuador,Rural,Ecuador,1999,--
Ecuador,Rural,Ecuador,2002,--
Ecuador,Rural,Ecuador,2005,0.468
Ecuador,Rural,Ecuador,2010,0.42
República Dominicana,Urbano,República Dominicana,1990,--
República Dominicana,Urbano,República Dominicana,1994,--
República Dominicana,Urbano,República Dominicana,1997,0.51
República Dominicana,Urbano,República Dominicana,2002,0.548
República Dominicana,Urbano,República Dominicana,2005,0.568
República Dominicana,Urbano,República Dominicana,2010,0.559
República Dominicana,Rural,República Dominicana,1990,--
República Dominicana,Rural,República Dominicana,1994,--
República Dominicana,Rural,República Dominicana,1997,0.487
República Dominicana,Rural,República Dominicana,2002,0.473
República Dominicana,Rural,República Dominicana,2005,0.542
República Dominicana,Rural,República Dominicana,2010,0.512
Costa Rica,Urbano,Costa Rica,1990,0.419
Costa Rica,Urbano,Costa Rica,1994,0.443
