111q”pais","ciudad","anho","ingreso_total_salarios","ingreso_total_ganancias","ingreso_total_capital","ingreso_total_transferencias","ingreso_total_otros","gini_salarios","gini_ganancias","gini_capital","gini_transferencias","gini_otros"
"Argentina","Buenos Aires",1990,39.48,39.08,5.27,6.63,9.54,26.93,52.49,10.35,1.74,8.49
"Argentina","Buenos Aires",1994,41.08,36.87,5.02,6.72,10.31,29.16,49.59,9.53,2.27,9.45
"Argentina","Buenos Aires",1999,42.67,29.96,9.77,9.17,8.43,31.34,37.64,17.66,6.39,6.98
"Argentina","Buenos Aires",2002,37.84,33.08,9.72,8.62,10.74,28.19,41.04,15.94,5.84,8.99
"Argentina","Buenos Aires",2005,44.73,31.87,7.58,9.2,6.62,33.91,41.24,12.94,5.09,6.82
"Argentina","Buenos Aires",2010,48.81,27.38,7.39,9.97,6.45,38.14,36.99,14.13,4.17,6.57
"Bolivia (Estado Plurinacional de)","La Paz",1994,41.25,40.99,4.62,4.25,8.9,36.17,43.63,6.78,3.85,9.56
"Bolivia (Estado Plurinacional de)","La Paz",1999,54.74,25.35,1.52,12.33,6.05,58.13,17.81,1.99,16.54,5.53
"Bolivia (Estado Plurinacional de)","La Paz",2004,50.13,19.31,4.58,7.89,18.09,50.98,10.84,7.03,10.06,21.09
"Bolivia (Estado Plurinacional de)","La Paz",2007,56.96,21.27,6.31,10.38,5.08,61.68,15.23,8.64,8.49,5.96
"Brasil","Brasilia",1990,56.57,16.25,11.21,11.98,3.99,51.12,14.34,15.89,14.39,4.27
"Brasil","Brasilia",1993,62.75,14.16,3.99,10.87,8.24,59.38,12.89,5.45,13.12,9.16
"Brasil","Brasilia",1996,46.72,14.76,9.08,11.8,17.64,38.23,14.96,12.48,14.46,19.87
"Brasil","Brasilia",1999,42.87,14.55,8.42,14.1,20.07,35.34,14.7,10.85,16.63,22.47
"Brasil","Brasilia",2001,46.01,12.07,12.38,12.68,16.85,39.79,11.2,16.73,14.09,18.2
"Brasil","Brasilia",2003,46.52,14.44,11.66,13.14,14.24,39.87,14.47,16.26,14.18,15.22
"Brasil","Brasilia",2005,50.44,11.46,11.57,12.92,13.61,44.91,10.41,15.76,14.16,14.76
"Brasil","Brasilia",2009,46.8,10.07,16.38,12.94,13.81,39.98,8.34,22.5,14.26,14.93
"Chile","Santiago",1999,45.85,26.96,7.09,9.54,10.57,38.46,33.4,10.28,7.87,9.99
"Chile","Santiago",1994,44.97,35.06,3.79,7.85,8.32,34.91,46.82,5.33,5.75,7.17
"Chile","Santiago",2000,47.17,28.35,3.43,8.02,13.03,40.72,35.7,4.8,6.03,12.75
"Chile","Santiago",2003,46.13,34.82,1.82,7.01,10.22,36.85,46.7,2.57,4.86,9.03
"Chile","Santiago",2006,49.18,32.42,2.21,7.42,8.76,40.97,43.21,3.21,4.8,7.81
"Chile","Santiago",2009,48.72,31.17,2.12,7.4,10.59,41.35,41.46,3.03,3.88,10.28
"Colombia","Bogotá",1991,49.66,24.29,5.58,0,20.47,40.92,23.49,8.42,0,27.17
"Colombia","Bogotá",1994,47.36,26.58,6.01,5.41,14.65,40.8,28.34,8.47,5.05,17.34
"Colombia","Bogotá",1999,45.44,20.84,17.54,7.78,8.4,38.29,18.73,25.22,8.36,9.4
"Colombia","Bogotá",2002,43.37,34.08,4.14,12.22,6.18,37.32,38.18,4.08,13.48,6.94
"Colombia","Bogotá",2005,45.25,33.11,3.79,12.58,5.27,39.24,37,4.09,13.83,5.84
"Colombia","Bogotá",2010,44.31,33.17,4.47,12.78,5.27,39.09,34.21,5.37,15.02,6.31
"Costa Rica","San José",1990,65.16,12.45,3.25,10,9.15,66.02,9.47,4.98,11.39,8.14
"Costa Rica","San José",1994,65.16,12.45,3.25,10,9.15,66.02,9.47,4.98,11.39,8.14
"Costa Rica","San José",1999,68.7,14.98,2.66,0,13.66,66.75,15.68,3.8,0,13.78
"Costa Rica","San José",2002,69.22,18.31,1.87,0,10.61,69.76,16.92,2.63,0,10.69
"Costa Rica","San José",2005,74.51,18.61,1.99,0,4.89,75.39,17.09,2.72,0,4.8
"Costa Rica","San José",2010,61.71,15.34,5.47,11.95,5.53,57.8,16.34,8.52,12.9,4.45
"República Dominicana","Santa Domingo",2005,33.08,43.89,7.5,6.1,9.43,26.54,48.17,10.19,6.7,8.4
"República Dominicana","Santa Domingo",2010,29.3,48.51,7.33,5.16,9.7,19.19,59.52,10.1,2.79,8.41
"Ecuador","Quito",1990,66.1,20.27,4.32,2.72,6.58,66.82,14.76,6.61,2.28,9.53
"Ecuador","Quito",1994,56.42,34.54,4.59,3.72,0.73,50.37,40.54,6,2.44,0.65
"Ecuador","Quito",1999,58.36,31.41,2.5,3.34,4.38,56.5,34.06,2.9,2.88,3.66
"Ecuador","Quito",2002,49.97,36.18,5.27,5.72,2.86,39.6,43.92,8.19,5.08,3.22
"Ecuador","Quito",2005,52.81,31.91,7.79,5.89,1.59,46.36,35.81,11.87,4.99,0.96
"Ecuador","Quito",2010,52.88,30.38,3.37,12.15,1.22,43.6,40.25,3.62,11.02,1.51
"El Salvador","San Salvador",1997,62.45,26.9,1.2,3.9,5.6,60.84,28.29,1.94,3.53,5.4
"El Salvador","San Salvador",1999,68.89,20.8,1.4,3.6,5.3,66.55,20.06,2.2,3.33,7.87
"El Salvador","San Salvador",2004,60.88,27.2,1.4,6.4,4.1,56.04,21.71,2.59,7.47,12.19
"El Salvador","San Salvador",2010,61.38,24.3,0.6,5.8,7.9,63.22,24.17,0.9,8.49,3.22
"Guatemala","Guatemala Ciudad",1989,46.11,32.05,7.54,2.16,12.13,34.4,41.44,9.62,1.97,12.57
"Guatemala","Guatemala Ciudad",1998,50.46,37.31,3.82,2.26,6.15,39.67,47.46,5.09,2.12,5.66
"Guatemala","Guatemala Ciudad",2002,49.91,39.02,2.84,3.9,4.32,43.16,48.48,3.87,2.66,1.82
"Guatemala","Guatemala Ciudad",2006,35.97,36.18,2.49,2.23,23.12,22.58,47.66,3.54,2.36,23.87
"Honduras","Tegucigalpa",1990,64.68,22.01,5.1,0,8.21,62.46,22.64,6.53,0,8.37
"Honduras","Tegucigalpa",1994,60.33,26.63,4.56,1.37,7.1,55.68,27.88,7.73,1.37,7.34
"Honduras","Tegucigalpa",1999,53.63,27.71,7.53,1.59,9.55,51.03,24.89,13.14,1.89,9.04
"Honduras","Tegucigalpa",2002,53.66,18.88,2.38,2.11,22.96,50.03,13.22,3.17,2.52,31.05
"Honduras","Tegucigalpa",2006,54.28,19.37,4.96,3.15,18.23,51.89,15.77,7.79,3.9,20.64
"Honduras","Tegucigalpa",2010,71.42,22.12,0,0,6.46,76.89,17.24,0,0,5.87
"México","México Ciudad",1989,43.74,20.11,0,2.29,33.85,32.05,23.69,0,2.51,41.75
"México","México Ciudad",1994,48.27,24.02,1.71,1.57,24.42,44.33,29.27,1.81,1.61,22.97
