city,1989,1994,2001,2005,2010
Acapulco,,,0.490,0.487,0.406
Aguascalientes,,0.456,0.446,0.453,0.383
Cancún,,,0.415,0.398,0.432
Chetumal,,0.461,,0.428,0.499
Chihuahua,,,0.453,0.433,0.465
Ciudad Juárez,,,0.420,0.506,0.467
Colima,,0.406,0.444,0.438,0.392
Cuernavaca,,,0.445,0.463,0.423
Culiacán,,,0.401,0.475,0.371
Durango,,0.440,0.482,0.413,0.401
Guadalajara,0.522,,0.446,0.399,0.421
Hermosillo,,,0.440,0.570,0.410
Irapuato,,,,0.428,0.457
León,,,0.344,0.459,0.407
Mérida,,,0.356,0.503,0.439
Mexicali,0.438,,0.431,0.365,0.461
México D.F.,0.550,0.553,0.497,0.559,0.488
Monterrey,0.504,0.482,0.499,0.425,0.395
Morelia,,,,0.520,0.418
Oaxaca,,,0.363,0.438,0.365
Puebla,,,0.439,,0.407
Saltillo,,0.519,0.376,0.463,0.490
Campeche,,0.307,0.437,0.522,
San Luis Potosí,0.404,,,,0.401
Querétaro,,,0.419,0.489,0.466
Tampico,,,,0.456,0.402
Tempic,0.453,,0.428,0.395,0.376
Tijuana,0.407,,0.380,0.483,0.501
Toluca,,0.440,0.530,0.525,
Torreón,,0.384,0.383,0.533,0.389
Tuxtla Gutiérrez,,,0.436,0.474,0.456
Veracruz,,0.414,0.450,0.385,0.414
Villahermosa,0.456,,0.559,0.501,0.372
Zacatecas,,,0.519,0.447,0.479
