city,1989,1994,2001,2005,2010
Acapulco,,,17.901,20.62,14.739
Aguascalientes,,15.475,15.156,16.339,12.356
Cancún,,,13.992,12.805,15.232
Chetumal,,27.122,,23.378,23.083
Chihuahua,,,17.264,15.536,20.343
Ciudad Juárez,,,12.588,23.53,18.252
Colima,,8.803,14.907,13.756,14.098
Cuernavaca,,,14.719,15.244,13.657
Culiacán,,,18.745,19.646,12.154
Durango,,17.686,17.879,12.405,11.5
Guadalajara,23.938,,15.152,12.228,13.616
Hermosillo,,,13.553,33.452,14.163
Irapuato,,,,13.327,17.66
León,,,8.637,15.976,14.567
Mérida,,,9.423,22.312,15.085
Mexicali,13.999,,14.841,8.771,20.411
México D.F.,27.704,27.92,20.086,29.266,20.392
Monterrey,19.485,17.783,19.238,13.365,11.642
Morelia,,,,24.21,15.769
Oaxaca,,,9.283,15.371,9.532
Puebla,,,17.279,,10.791
Saltillo,,25.884,10.283,17.312,17.024
Campeche,,6.088,16.752,23.794,
San Luis Potosí,16.478,,,,12.466
Querétaro,,,13.855,21.442,16.752
Tampico,,,,16.868,12.989
Tepic,17.812,,20.104,11.346,8.453
Tijuana,13.096,,11.714,20.549,21.334
Toluca,,15.947,22.813,24.115,
Torreón,,11.308,10.625,28.72,11.772
Tuxtla Gutiérrez,,,16.427,20.434,18.155
Veracruz,,14.896,17.837,12.653,12.433
Villahermosa,17.871,,34.197,27.463,10.669
Zacatecas,,,25.846,17.192,17.499
